Timestamp,Protocol,SrcIP,SrcPort,DstIP,DstPort,Length
2025-11-04 10:34:21,TCP,,57024,,443,78
2025-11-04 10:34:21,TCP,,56936,,443,90
2025-11-04 10:34:21,TCP,,443,,57024,74
2025-11-04 10:34:21,TCP,,57024,,443,66
2025-11-04 10:34:21,TCP,,57024,,443,583
2025-11-04 10:34:22,TCP,,443,,57024,165
2025-11-04 10:34:22,TCP,,57024,,443,66
2025-11-04 10:34:22,TCP,,57024,,443,503
2025-11-04 10:34:22,TCP,,443,,57024,1514
2025-11-04 10:34:22,TCP,,443,,57024,1514
2025-11-04 10:34:22,TCP,,443,,57024,1514
2025-11-04 10:34:22,TCP,,443,,57024,213
2025-11-04 10:34:22,TCP,,57024,,443,66
2025-11-04 10:34:22,TCP,,57024,,443,66
2025-11-04 10:34:22,TCP,,57024,,443,1494
2025-11-04 10:34:22,TCP,,57024,,443,901
2025-11-04 10:34:22,TCP,,443,,57024,66
2025-11-04 10:34:22,TCP,,443,,57024,169
2025-11-04 10:34:22,TCP,,443,,57024,530
2025-11-04 10:34:22,TCP,,57024,,443,66
2025-11-04 10:34:22,TCP,,57024,,443,66
2025-11-04 10:34:22,TCP,,57024,,443,90
2025-11-04 10:34:22,TCP,,57024,,443,66
2025-11-04 10:34:22,TCP,,443,,57024,66
